,ID,Score
0,2000129,46.666666666666664
1,2000104,28.333333333333332
2,2000318,25.0
3,20020027,25.0
4,2000147,18.333333333333332
5,2000109,25.0
6,2000111,25.0
7,2000137,21.666666666666668
8,20003,20.0
9,2000150,30.0
10,2000105,20.0
11,2000102,25.0
12,2000127,51.66666666666667
13,2000342,21.666666666666668
14,2000310,18.333333333333332
15,2000107,18.333333333333332
16,2000312,46.666666666666664
17,2000339,26.666666666666668
18,2000133,43.333333333333336
19,2000130,48.333333333333336
20,2000106,25.0
21,2000101,28.333333333333332
22,2000118,75.0
23,20020029,25.0
24,2000113,23.333333333333332
25,2000348,26.666666666666668
26,2000149,26.666666666666668
27,2000123,65.0
28,2000119,100.0
29,2000322,23.333333333333332
30,2000325,30.0
31,2000329,25.0
32,20020030,20.0
33,2000120,71.66666666666667
34,2000139,26.666666666666668
35,2000135,21.666666666666668
36,2000143,18.333333333333332
37,20020031,28.333333333333332
38,20020033,23.333333333333332
39,2000108,40.0
40,2000333,18.333333333333332
41,2000103,18.333333333333332
42,2000314,43.333333333333336
43,2000337,18.333333333333332
44,2000144,16.666666666666664
45,2000347,28.333333333333332
46,2000313,48.333333333333336
47,2000142,21.666666666666668
48,2000148,26.666666666666668
49,2000126,48.333333333333336
50,2000320,20.0
51,20020032,25.0
52,2000334,16.666666666666664
53,2000122,60.0
54,2000115,23.333333333333332
55,2000317,21.666666666666668
56,2000116,63.33333333333333
57,200250028,18.333333333333332
58,2000315,40.0
59,2000146,18.333333333333332
60,2000323,26.666666666666668
61,2000132,48.333333333333336
62,2000128,51.66666666666667
63,2000316,48.333333333333336
64,2000319,21.666666666666668
65,2000145,16.666666666666664
66,2000141,26.666666666666668
67,2000345,16.666666666666664
68,2000138,20.0
69,2000125,50.0
70,20020025,28.333333333333332
71,2000117,70.0
72,2000327,25.0
73,2000110,28.333333333333332
74,2000124,53.333333333333336
75,2000321,26.666666666666668
76,2000140,23.333333333333332
77,2000112,28.333333333333332
78,2000136,25.0
79,2000114,18.333333333333332
80,2000134,40.0
